iter	RMSE
0	2.643510352
1	2.64150036
2	2.637750766
3	2.633219783
4	2.630356542
5	2.626329252
6	2.623878668
7	2.620029943
8	2.616691482
9	2.613107245
10	2.609782744
11	2.60763481
12	2.604468999
13	2.60286896
14	2.600970713
15	2.59793317
16	2.59532663
17	2.593111827
18	2.590589733
19	2.58823655
20	2.584877553
21	2.582207828
22	2.580256814
23	2.577457211
24	2.575906574
25	2.573279228
26	2.570163189
27	2.567415314
28	2.565443058
29	2.562494999
30	2.559946356
31	2.558019716
32	2.55430713
33	2.550817891
34	2.548893872
35	2.546480819
36	2.542690056
37	2.540515026
38	2.537891289
39	2.534772401
40	2.531640885
41	2.529536717
42	2.525992271
43	2.523599148
44	2.521933757
45	2.517974725
46	2.516169678
47	2.514792411
48	2.511852269
49	2.508938089
50	2.505671207
51	2.502202696
52	2.500183678
53	2.497816033
54	2.495631784
55	2.493070014
56	2.490489008
57	2.488725084
58	2.486643647
59	2.485299961
60	2.482591733
61	2.480510454
62	2.477323045
63	2.475696347
64	2.474076082
65	2.47310273
66	2.47147786
67	2.46921784
68	2.467733407
69	2.465290255
70	2.461771744
71	2.458229208
72	2.455114656
73	2.453290186
74	2.451394569
75	2.449486946
76	2.447268982
77	2.445328696
78	2.442386257
79	2.439954254
80	2.438853345
81	2.437818167
82	2.436253124
83	2.434811251
84	2.432809674
85	2.431266767
86	2.429173892
87	2.427098677
88	2.42504076
89	2.42370379
90	2.422417704
91	2.421419668
92	2.420039968
93	2.419384757
94	2.418403067
95	2.416448412
96	2.414647781
97	2.412819668
98	2.410572957
99	2.408942382
100	2.406990345
101	2.406070345
102	2.404662429
103	2.401898087
104	2.400374306
105	2.399180482
106	2.397670036
107	2.396003157
108	2.393297737
109	2.391855307
110	2.390702793
111	2.389285038
112	2.387270911
113	2.384383373
114	2.383027244
115	2.380712514
116	2.378753291
117	2.37685038
118	2.375116631
119	2.373568861
120	2.372169756
121	2.370550327
122	2.368890041
123	2.367170855
124	2.365392426
125	2.363886258
126	2.363091134
127	2.361908164
128	2.360948014
129	2.359250534
130	2.358731262
131	2.355786591
132	2.354077426
133	2.352407058
134	2.35166397
135	2.350762983
136	2.350546098
137	2.349281266
138	2.348326973
139	2.347024283
140	2.346114386
141	2.344041211
142	2.343134255
143	2.341610775
144	2.340324086
145	2.337790597
146	2.335764589
147	2.334616381
148	2.333621272
149	2.332053296
150	2.331275718
151	2.32916645
152	2.327938379
153	2.326558582
154	2.325806274
155	2.323808015
156	2.322695458
157	2.321814354
158	2.319992649
159	2.318255959
160	2.317100128
161	2.315785621
162	2.314193629
163	2.313133949
164	2.311268196
165	2.309869317
166	2.308881995
167	2.307601228
168	2.306423719
169	2.305320284
170	2.304731275
171	2.303660942
172	2.302398723
173	2.300689219
174	2.298750263
175	2.296439768
176	2.294800254
177	2.293939076
178	2.292897897
179	2.291346082
180	2.290397836
181	2.289605668
182	2.28825247
183	2.287214938
184	2.285474808
185	2.284397041
186	2.283159815
187	2.282159661
188	2.280093989
189	2.278228752
190	2.277572585
191	2.276494392
192	2.275784547
193	2.274297854
194	2.273203696
195	2.27212275
196	2.270666888
197	2.269197126
198	2.268109858
199	2.267309032
200	2.266015567
201	2.265059439
202	2.264064697
203	2.262831142
204	2.261968771
205	2.260727382
206	2.259361922
207	2.258144658
208	2.257181294
209	2.256288259
210	2.254846396
211	2.253590861
212	2.253036947
213	2.251485848
214	2.250022332
215	2.248804991
216	2.247906984
217	2.246954948
218	2.246192946
219	2.245551579
220	2.245096754
221	2.244509853
222	2.243574484
223	2.243146081
224	2.24217727
225	2.240579307
226	2.239433753
227	2.238852313
228	2.237657524
229	2.23717349
230	2.236629047
231	2.235692988
232	2.235191295
233	2.234251178
234	2.233421577
235	2.232433229
236	2.230933956
237	2.229692341
238	2.228104573
239	2.22678865
240	2.225530186
241	2.22494824
242	2.223821906
243	2.22255762
244	2.221484386
245	2.22090732
246	2.220031928
247	2.219003431
248	2.218470486
249	2.217450694
250	2.215949505
251	2.215175049
252	2.214682701
253	2.213878928
254	2.213189494
255	2.212792324
256	2.212208028
257	2.211638489
258	2.210567802
259	2.210422826
260	2.209890274
261	2.209338167
262	2.209082981
263	2.208321156
264	2.207229161
265	2.206568246
266	2.206122086
267	2.205313171
268	2.204175148
269	2.203465529
270	2.202456525
271	2.201512428
272	2.200852228
273	2.199872839
274	2.199366141
275	2.198720381
276	2.197822131
277	2.197245613
278	2.196386138
279	2.196013667
280	2.194853497
281	2.193831529
282	2.193013796
283	2.191559286
284	2.190740681
285	2.189763648
286	2.18896269
287	2.188003154
288	2.186960444
289	2.18654975
290	2.185487029
291	2.185036512
292	2.183881233
293	2.183436987
294	2.183141513
295	2.181947788
296	2.181378158
297	2.180973699
298	2.180313171
299	2.179460411
300	2.17898433
301	2.178042686
302	2.176862869
303	2.176583501
304	2.174984893
305	2.17454532
306	2.1740048
307	2.172760886
308	2.171728124
309	2.170620073
310	2.169985281
311	2.169105759
312	2.168600662
313	2.167903104
314	2.167182969
315	2.166531002
316	2.165883561
317	2.165189449
318	2.163703587
319	2.162765511
320	2.161990341
321	2.161337584
322	2.160369769
323	2.159964734
324	2.159210246
325	2.158614443
326	2.157610459
327	2.157017456
328	2.155753647
329	2.155652318
330	2.154893356
331	2.154526874
332	2.154380393
333	2.153984522
334	2.153114299
335	2.152288973
336	2.151349812
337	2.15051468
338	2.149791602
339	2.14916061
340	2.148553149
341	2.147737438
342	2.146023788
343	2.145431592
344	2.144758733
345	2.144420903
346	2.143579649
347	2.142381332
348	2.140972515
349	2.140406505
350	2.139603284
351	2.139024313
352	2.138381434
353	2.137393315
354	2.136760215
355	2.135824102
356	2.135506713
357	2.135065387
358	2.134392322
359	2.133633337
360	2.13274406
361	2.131797294
362	2.130983982
363	2.130423503
364	2.12971242
365	2.129003756
366	2.128563754
367	2.128215621
368	2.127679703
369	2.127017365
370	2.126738042
371	2.126070045
372	2.125539971
373	2.124657836
374	2.12405992
375	2.123232705
376	2.122846715
377	2.122177502
378	2.121676166
379	2.120923624
380	2.120469305
381	2.119428314
382	2.118543432
383	2.117920223
384	2.116738045
385	2.115730833
386	2.115089219
387	2.114439053
388	2.114224639
389	2.113481345
390	2.112976209
391	2.111848691
392	2.111504109
393	2.11089773
394	2.110529171
395	2.110070814
396	2.109506759
397	2.109051693
398	2.108623017
399	2.107932435
400	2.107354645
401	2.107228152
402	2.106895532
403	2.106624708
404	2.106045072
405	2.105529476
406	2.105369042
407	2.104670654
408	2.104128278
409	2.103600575
410	2.103064095
411	2.102388336
412	2.101573215
413	2.100775994
414	2.099928044
415	2.098989613
416	2.098256564
417	2.097808685
418	2.097360821
419	2.097162444
