iter	Passed	Remaining
0	4	10583
1	8	10656
2	11	9919
3	15	9380
4	18	9038
5	21	8840
6	24	8783
7	27	8684
8	30	8578
9	34	8599
10	37	8561
11	41	8540
12	44	8499
13	47	8472
14	51	8515
15	54	8524
16	58	8534
17	61	8509
18	64	8478
19	68	8470
20	71	8434
21	74	8442
22	78	8429
23	81	8410
24	84	8376
25	87	8358
26	91	8361
27	94	8358
28	97	8341
29	101	8323
30	104	8291
31	107	8279
32	110	8250
33	113	8240
34	116	8236
35	120	8225
36	123	8225
37	126	8220
38	129	8200
39	133	8192
40	136	8174
41	139	8158
42	142	8154
43	144	8079
44	148	8095
45	152	8113
46	155	8112
47	158	8113
48	162	8113
49	165	8116
50	169	8116
51	174	8225
52	190	8774
53	196	8922
54	203	9040
55	209	9134
56	214	9188
57	219	9228
58	226	9361
59	227	9269
60	232	9298
61	239	9429
62	246	9519
63	253	9630
64	257	9661
65	262	9662
66	266	9684
67	270	9660
68	273	9644
69	277	9619
70	280	9597
71	283	9570
72	288	9596
73	292	9593
74	295	9565
75	298	9535
76	302	9505
77	306	9502
78	309	9479
79	312	9466
80	316	9438
81	319	9414
82	326	9520
83	333	9580
84	339	9636
85	344	9670
86	349	9689
87	354	9721
88	358	9724
89	363	9722
90	366	9707
91	370	9700
92	374	9692
93	378	9696
94	384	9728
95	389	9742
96	392	9733
97	396	9722
98	400	9701
99	403	9683
100	407	9679
101	408	9595
102	411	9579
103	414	9555
104	418	9540
105	422	9534
106	425	9515
107	428	9495
108	432	9478
109	435	9463
110	438	9445
111	442	9430
112	446	9424
113	449	9410
114	453	9403
115	456	9391
116	460	9382
117	464	9369
118	467	9359
119	471	9352
120	474	9336
121	478	9325
122	481	9307
123	484	9292
124	489	9296
125	493	9299
126	496	9278
127	499	9257
128	503	9245
129	506	9228
130	509	9215
131	512	9199
132	515	9180
133	519	9168
134	522	9150
135	525	9129
136	525	9065
137	529	9055
138	530	9016
139	534	9002
140	537	8990
141	540	8978
142	543	8950
143	545	8929
144	546	8878
145	549	8862
146	552	8849
147	555	8833
148	558	8818
149	561	8803
150	564	8788
151	568	8776
152	571	8762
153	574	8749
154	577	8741
155	580	8725
156	583	8714
157	587	8703
158	589	8686
159	592	8670
160	595	8655
161	598	8639
162	601	8628
163	604	8611
164	607	8597
165	610	8586
166	613	8571
167	616	8561
168	619	8548
169	622	8532
170	625	8521
171	628	8508
172	631	8495
173	634	8485
174	637	8476
175	640	8464
176	644	8453
177	647	8440
178	650	8434
179	653	8426
180	656	8415
181	660	8409
182	663	8398
183	666	8390
184	669	8380
185	672	8366
186	675	8359
187	678	8348
188	681	8338
189	685	8332
190	688	8322
191	691	8315
192	694	8307
193	698	8298
194	701	8296
195	705	8295
196	708	8288
197	712	8279
198	715	8271
199	717	8248
200	720	8238
201	723	8226
202	726	8216
203	729	8207
204	732	8197
205	735	8187
206	738	8177
207	741	8170
208	744	8159
209	747	8148
210	750	8139
211	753	8130
212	756	8121
213	759	8113
214	762	8103
215	765	8093
216	768	8083
217	771	8076
218	774	8070
219	778	8063
220	781	8056
221	782	8029
222	785	8022
223	786	7991
224	789	7986
225	793	7981
226	796	7974
227	800	7974
228	803	7970
229	807	7965
230	810	7959
231	813	7953
232	817	7952
233	820	7947
234	824	7943
235	827	7938
236	830	7931
237	834	7926
238	837	7918
239	840	7912
240	843	7909
241	846	7902
242	850	7897
243	853	7891
244	856	7884
245	859	7876
246	863	7871
247	866	7868
248	869	7862
249	873	7858
250	876	7851
251	879	7845
252	882	7839
253	885	7832
254	889	7827
255	892	7823
256	895	7818
257	899	7815
258	902	7809
259	902	7779
260	906	7776
261	909	7772
262	910	7744
263	913	7738
264	917	7733
265	920	7727
266	923	7720
267	926	7715
268	929	7708
269	932	7705
270	934	7689
271	937	7683
272	941	7677
273	944	7677
274	948	7673
275	951	7666
276	955	7665
277	956	7642
278	959	7638
279	962	7632
280	966	7629
281	969	7624
282	973	7623
283	976	7616
284	979	7610
285	982	7606
286	985	7599
287	988	7595
288	992	7592
289	995	7589
290	999	7583
291	1002	7578
292	1005	7576
293	1008	7569
294	1010	7554
295	1014	7552
296	1017	7549
297	1021	7545
298	1024	7541
299	1027	7537
300	1031	7534
301	1034	7531
302	1038	7530
303	1042	7530
304	1045	7527
305	1049	7522
306	1052	7517
307	1055	7510
308	1058	7504
309	1061	7499
310	1064	7495
311	1068	7490
312	1071	7485
313	1074	7478
314	1077	7472
315	1080	7469
316	1083	7464
317	1087	7458
318	1090	7455
319	1093	7450
320	1097	7447
321	1100	7443
322	1103	7440
323	1107	7437
324	1110	7432
325	1113	7428
326	1117	7422
327	1120	7418
328	1123	7411
329	1123	7388
330	1125	7375
331	1129	7372
332	1129	7350
333	1133	7347
334	1136	7344
335	1139	7340
336	1142	7334
337	1146	7331
338	1149	7326
339	1152	7322
340	1155	7318
341	1158	7312
342	1162	7308
343	1165	7306
344	1169	7302
345	1172	7300
346	1175	7294
347	1179	7292
348	1182	7288
349	1185	7283
350	1188	7279
351	1190	7262
352	1193	7256
353	1196	7252
354	1199	7247
355	1202	7244
356	1205	7239
357	1209	7234
358	1212	7230
359	1215	7225
360	1218	7221
361	1222	7218
362	1225	7212
363	1228	7207
364	1231	7202
365	1234	7198
366	1238	7200
367	1241	7195
368	1243	7178
369	1246	7175
370	1249	7170
371	1252	7166
372	1256	7163
373	1259	7159
374	1262	7155
375	1265	7150
376	1269	7147
377	1272	7143
378	1275	7138
379	1278	7135
380	1282	7132
381	1285	7127
382	1288	7124
383	1292	7120
384	1295	7116
385	1298	7111
386	1302	7109
387	1305	7105
388	1308	7100
389	1311	7095
390	1314	7090
391	1317	7085
392	1320	7082
393	1324	7077
394	1327	7073
395	1331	7073
396	1334	7069
397	1337	7064
398	1338	7049
399	1341	7045
400	1345	7040
401	1348	7035
402	1351	7030
403	1354	7028
404	1357	7024
405	1361	7023
406	1364	7019
407	1368	7016
408	1371	7012
409	1374	7008
410	1378	7005
411	1381	7001
412	1384	6996
413	1387	6991
414	1390	6986
415	1394	6983
416	1397	6979
417	1400	6976
418	1404	6973
419	1405	6959
420	1408	6956
421	1412	6953
422	1414	6947
423	1418	6944
424	1421	6941
425	1424	6936
426	1428	6936
427	1429	6920
428	1432	6917
429	1436	6917
430	1440	6913
431	1443	6910
432	1444	6893
433	1447	6889
434	1450	6886
435	1453	6882
436	1457	6878
437	1460	6876
438	1464	6874
439	1467	6870
440	1470	6865
441	1473	6861
442	1476	6857
443	1480	6853
444	1483	6849
445	1486	6846
446	1489	6842
447	1493	6839
448	1496	6835
449	1499	6832
450	1501	6821
451	1504	6818
452	1508	6815
453	1508	6800
454	1512	6796
455	1515	6792
456	1518	6788
457	1521	6784
458	1524	6780
459	1528	6777
460	1531	6773
461	1534	6770
462	1536	6758
463	1539	6754
464	1542	6752
465	1546	6749
466	1549	6746
467	1552	6742
468	1556	6738
469	1559	6736
470	1560	6724
471	1563	6719
472	1567	6716
473	1570	6713
474	1574	6710
475	1574	6695
476	1577	6691
477	1581	6688
478	1584	6684
479	1587	6680
480	1591	6679
481	1594	6676
482	1596	6667
483	1599	6663
484	1602	6659
485	1605	6655
486	1609	6651
487	1612	6646
488	1615	6644
489	1619	6641
490	1622	6638
491	1625	6635
492	1626	6621
493	1629	6617
494	1632	6614
495	1636	6611
496	1639	6608
497	1643	6606
498	1643	6591
499	1647	6588
500	1650	6585
501	1653	6580
502	1656	6576
503	1659	6572
504	1662	6568
505	1666	6565
506	1669	6561
507	1672	6556
508	1675	6553
509	1678	6550
510	1682	6547
511	1685	6543
512	1688	6540
513	1689	6529
514	1692	6525
515	1696	6522
516	1700	6521
517	1703	6517
518	1706	6513
519	1709	6509
520	1712	6506
521	1716	6502
522	1719	6498
523	1722	6495
524	1725	6492
525	1728	6488
526	1732	6486
527	1735	6483
528	1739	6481
529	1742	6477
530	1746	6474
531	1747	6462
532	1750	6458
533	1753	6454
534	1756	6451
535	1759	6447
536	1762	6443
537	1766	6441
538	1769	6437
539	1772	6434
540	1774	6424
541	1777	6421
542	1781	6419
543	1784	6415
544	1787	6411
545	1790	6408
546	1792	6398
547	1795	6395
548	1799	6393
549	1802	6389
550	1805	6385
551	1808	6381
552	1808	6368
553	1812	6365
554	1815	6362
555	1818	6359
556	1822	6355
557	1825	6353
558	1828	6349
559	1832	6349
560	1836	6346
561	1839	6343
562	1843	6341
563	1846	6338
564	1849	6335
565	1851	6327
566	1854	6323
567	1858	6320
568	1861	6318
569	1865	6315
570	1868	6311
571	1871	6308
572	1874	6305
573	1878	6301
574	1881	6297
575	1884	6294
576	1887	6291
577	1891	6288
578	1894	6285
579	1897	6282
580	1900	6278
581	1904	6274
582	1907	6272
583	1910	6268
584	1913	6265
585	1917	6261
586	1920	6258
587	1923	6255
588	1926	6251
589	1930	6248
590	1933	6244
591	1936	6241
592	1939	6238
593	1943	6235
594	1946	6231
595	1949	6228
596	1952	6225
597	1956	6222
598	1959	6219
599	1964	6219
600	1967	6216
601	1970	6214
602	1974	6210
603	1977	6206
604	1980	6202
605	1983	6198
606	1986	6194
607	1986	6182
608	1989	6178
609	1992	6173
610	1995	6169
611	1998	6165
612	2001	6160
613	2004	6156
614	2007	6152
615	2010	6148
616	2013	6144
617	2016	6139
618	2019	6135
619	2022	6131
620	2025	6127
621	2028	6123
622	2031	6120
623	2034	6117
624	2038	6115
625	2041	6111
626	2044	6107
627	2047	6103
628	2050	6098
629	2053	6094
630	2056	6090
631	2059	6086
632	2062	6082
633	2065	6078
634	2068	6073
635	2071	6069
636	2074	6066
637	2077	6062
638	2078	6053
639	2081	6049
640	2084	6046
641	2087	6042
642	2090	6038
643	2094	6035
644	2097	6032
645	2099	6025
646	2102	6021
647	2105	6017
648	2108	6014
649	2111	6010
650	2115	6007
651	2117	6003
652	2121	6001
653	2124	5997
654	2127	5994
655	2131	5990
656	2134	5986
657	2135	5978
658	2138	5974
659	2141	5970
660	2144	5966
661	2147	5962
662	2150	5958
663	2153	5954
664	2156	5951
665	2159	5947
666	2163	5944
667	2166	5940
668	2169	5937
669	2173	5935
670	2176	5933
671	2180	5931
672	2183	5927
673	2186	5924
674	2189	5920
675	2192	5917
676	2195	5912
677	2196	5903
678	2199	5899
679	2202	5895
680	2205	5892
681	2208	5888
682	2211	5884
683	2214	5880
684	2217	5876
685	2220	5872
686	2223	5868
687	2226	5864
688	2230	5861
689	2233	5858
690	2236	5854
691	2237	5846
692	2240	5842
693	2244	5839
694	2246	5835
695	2249	5831
696	2253	5828
697	2255	5824
698	2258	5820
699	2261	5816
700	2265	5812
701	2268	5809
702	2271	5806
703	2274	5803
704	2277	5799
705	2280	5795
706	2281	5785
707	2284	5781
